YEAR_ID,MONTH_ID,SEQ,CUTOFF_DATE,BORROWER_COUNT,BORROWER_CODE_NAME,JOINT,LENDING UNIT,LG,Major Industry,Account/Loan Type,Customer Size,Development Lending Program,Location,Region,Account Class,Interest Rate,Interest Type,Type of Facility,Collateral Type,Collateral Type Description,Source,Loan Term,No. of Days-Loan Term,Past Due Date,Loan Status,Area Code,   NPL   ,   Sum of Sum of Approved Amount   ,   Sum of Sum of Collateral Amount   ,   Sum of Sum of Release Amount   ,   Sum of Sum of Booked Reserves   ,   Sum of Sum of Loan Portfolio   ,MONTH_YEAR,GDP,INFL,UNEMP,USD,Month Name,IS_NPL,Interest Rate Range
2025,12,25,12/31/2025,1,BORROWER_1002,BORROWER_1002-2025-12,BACOLOD LENDING CENTER,VLG,CONSTRUCTION,SME Loans - Medium,Medium,Infrastructure Contractor Support Program,NEGROS OCCIDENTAL,Western Visayas,PASS,10.8,Variable,TERM LOAN,Secured,MACHINERY & EQUIPMENT,DBP,Medium Term,1277,,CUR,PA,0.00,14000000.00,718000.00,9800000.00,417319.99,9200000.00,2025-12,3,1.8,4.4,58.8488,DEC,0,10.00% - 11.99%
2019,12,1,12/31/2019,1,BORROWER_1003,BORROWER_1003-2019-12,ILOILO LENDING CENTER,VLG,EDUCATION ,Loans to Private Corp - Non Financial,Large,RESPONSE - ESKWELA,ILOILO,Western Visayas,SPECIALLY MENTIONED,6,Fixed,TERM LOAN,Secured,MACHINERY & EQUIPMENT,DBP,Long Term,3287,,CUR,PA,0.00,100000000.00,140223797.00,100000000.00,0.00,100000000.00,19-Dec,6.6,2.4,4.59,50.7671,DEC,0,5.00% - 7.99%
2020,12,5,12/31/2020,1,BORROWER_1003,BORROWER_1003-2020-12,ILOILO LENDING CENTER,VLG,EDUCATION ,Loans to Private Corp - Non Financial,Large,RESPONSE - ESKWELA,ILOILO,Western Visayas,SPECIALLY MENTIONED,6,Fixed,TERM LOAN,Secured,MACHINERY & EQUIPMENT,DBP,Long Term,2738,,CUR,PA,0.00,100000000.00,143028953.00,100000000.00,4840722.49,100000000.00,20-Dec,-8.2,3.3,8.74,48.0637,DEC,0,5.00% - 7.99%
2021,12,9,12/31/2021,1,BORROWER_1003,BORROWER_1003-2021-12,ILOILO LENDING CENTER,VLG,EDUCATION ,Loans to Private Corp - Non Financial,Large,RESPONSE - ESKWELA,ILOILO,Western Visayas,SPECIALLY MENTIONED,6,Fixed,TERM LOAN,Secured,MACHINERY & EQUIPMENT,DBP,Long Term,3652,,CUR,NPA,100000000.00,100000000.00,137732000.00,100000000.00,14754327.88,100000000.00,21-Dec,7.9,3.1,6.6,50.2478,DEC,1,5.00% - 7.99%
2022,12,13,12/31/2022,1,BORROWER_1003,BORROWER_1003-2022-12,ILOILO LENDING CENTER,VLG,EDUCATION ,Loans to Private Corp - Non Financial,Large,RESPONSE - ESKWELA,ILOILO,Western Visayas,SPECIALLY MENTIONED,6,Variable,TERM LOAN,Secured,MACHINERY & EQUIPMENT,DBP,Long Term,3652,,CUR,PA,0.00,100000000.00,137732000.00,100000000.00,14754327.88,91666666.66,22-Dec,7.1,8.1,4.3,55.6839,DEC,0,5.00% - 7.99%
2023,12,17,12/31/2023,1,BORROWER_1003,BORROWER_1003-2023-12,ILOILO LENDING CENTER,VLG,EDUCATION ,Loans to Private Corp - Non Financial,Large,RESPONSE - ESKWELA,ILOILO,Western Visayas,SPECIALLY MENTIONED,6,Variable,TERM LOAN,Secured,MACHINERY & EQUIPMENT,DBP,Long Term,3652,,CUR,PA,0.00,100000000.00,137732000.00,100000000.00,14754327.88,80555555.54,23-Dec,5.54,3.9,3.1,55.5877,DEC,0,5.00% - 7.99%
2024,12,21,12/31/2024,1,BORROWER_1003,BORROWER_1003-2024-12,ILOILO LENDING CENTER,VLG,EDUCATION ,Loans to Private Corp - Non Financial,Large,RESPONSE - ESKWELA,ILOILO,Western Visayas,SPECIALLY MENTIONED,8.7,Variable,TERM LOAN,Secured,MACHINERY & EQUIPMENT,DBP,Long Term,3652,,CUR,PA,0.00,100000000.00,137732000.00,100000000.00,14754327.88,69444444.42,24-Dec,5.3,2.9,3.1,58.448,DEC,0,8.00% - 9.99%
2025,12,25,12/31/2025,1,BORROWER_1003,BORROWER_1003-2025-12,ILOILO LENDING CENTER,VLG,EDUCATION ,Loans to Private Corp - Non Financial,Large,RESPONSE - ESKWELA,ILOILO,Western Visayas,SPECIALLY MENTIONED,8.7,Variable,TERM LOAN,Secured,MACHINERY & EQUIPMENT,DBP,Long Term,3652,,CUR,PA,0.00,100000000.00,137732000.00,100000000.00,14754327.88,58333333.30,2025-12,3,1.8,4.4,58.8488,DEC,0,8.00% - 9.99%
2019,12,1,12/31/2019,1,BORROWER_1004,BORROWER_1004-2019-12,MIDDLE MARKET II DEPT.,SMERMMLG,CONSTRUCTION,Loans to Private Corp - Non Financial,Large,No Program,RIZAL,Calabarzon,CURRENT,5.3,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Short Term,90,,CUR,PA,0.00,1475000000.00,175000000.00,132000000.00,0.00,132000000.00,19-Dec,6.6,2.4,4.59,50.7671,DEC,0,5.00% - 7.99%
2020,12,5,12/31/2020,1,BORROWER_1004,BORROWER_1004-2020-12,MIDDLE MARKET II DEPT.,SMERMMLG,CONSTRUCTION,Loans to Private Corp - Non Financial,Large,No Program,RIZAL,Calabarzon,CURRENT,4.5,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Medium Term,84,,CUR,PA,0.00,1811180000.00,0.00,281430000.00,0.00,275133500.00,20-Dec,-8.2,3.3,8.74,48.0637,DEC,0,3.00% - 4.99%
2021,12,9,12/31/2021,1,BORROWER_1004,BORROWER_1004-2021-12,MIDDLE MARKET II DEPT.,SMERMMLG,CONSTRUCTION,Loans to Private Corp - Non Financial,Large,No Program,RIZAL,Calabarzon,PASS,3.8,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Short Term,6,,CUR,PA,0.00,2586180000.00,0.00,679430000.00,0.00,649247500.00,21-Dec,7.9,3.1,6.6,50.2478,DEC,0,3.00% - 4.99%
2022,12,13,12/31/2022,1,BORROWER_1004,BORROWER_1004-2022-12,MIDDLE MARKET II DEPT.,SMERMMLG,CONSTRUCTION,Loans to Private Corp - Non Financial,Large,No Program,RIZAL,Calabarzon,PASS,5.8,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Medium Term,178,,CUR,PA,0.00,786180000.00,175000000.00,141430000.00,0.00,107361500.00,22-Dec,7.1,8.1,4.3,55.6839,DEC,0,5.00% - 7.99%
2019,12,1,12/31/2019,1,BORROWER_1006,BORROWER_1006-2019-12,SME (NCR) DEPARTMENT,SMERMMLG,EDUCATION ,SME Loans - Small,Small," DBP Education Sector Support for Knowledge, Wisdom and Empowerment through Lending Assistance (ESKWELA) Progr",METRO MANILA,National Capital Region,CURRENT,6.3,Variable,TERM LOAN,Unsecured,(blank),DBP,Long Term,2800,,CUR,PA,0.00,2000000.00,0.00,1978493.13,88825.81,1376343.05,19-Dec,6.6,2.4,4.59,50.7671,DEC,0,5.00% - 7.99%
2020,12,5,12/31/2020,1,BORROWER_1006,BORROWER_1006-2020-12,SME (NCR) DEPARTMENT,SMERMMLG,EDUCATION ,SME Loans - Small,Small," DBP Education Sector Support for Knowledge, Wisdom and Empowerment through Lending Assistance (ESKWELA) Progr",METRO MANILA,National Capital Region,CURRENT,6.3,Variable,TERM LOAN,Unsecured,(blank),DBP,Long Term,1704,,CUR,PA,0.00,2000000.00,0.00,1311826.97,13597.39,1311826.97,20-Dec,-8.2,3.3,8.74,48.0637,DEC,0,5.00% - 7.99%
2021,12,9,12/31/2021,1,BORROWER_1006,BORROWER_1006-2021-12,SME (NCR) DEPARTMENT,SMERMMLG,EDUCATION ,SME Loans - Small,Small," DBP Education Sector Support for Knowledge, Wisdom and Empowerment through Lending Assistance (ESKWELA) Progr",METRO MANILA,National Capital Region,PASS,6.3,Variable,TERM LOAN,Unsecured,(blank),DBP,Long Term,1673,,CUR,PA,0.00,2000000.00,0.00,1311000.00,18010.09,1230624.51,21-Dec,7.9,3.1,6.6,50.2478,DEC,0,5.00% - 7.99%
2022,12,13,12/31/2022,1,BORROWER_1006,BORROWER_1006-2022-12,SME (NCR) DEPARTMENT,SMERMMLG,EDUCATION ,SME Loans - Small,Small," DBP Education Sector Support for Knowledge, Wisdom and Empowerment through Lending Assistance (ESKWELA) Progr",METRO MANILA,National Capital Region,PASS,6.3,Variable,TERM LOAN,Unsecured,(blank),DBP,Long Term,1673,,CUR,PA,0.00,2000000.00,0.00,1311000.00,14414.54,1137545.32,22-Dec,7.1,8.1,4.3,55.6839,DEC,0,5.00% - 7.99%
2023,12,17,12/31/2023,1,BORROWER_1006,BORROWER_1006-2023-12,SME (NCR) DEPARTMENT,SMERMMLG,EDUCATION ,SME Loans - Small,Small," DBP Education Sector Support for Knowledge, Wisdom and Empowerment through Lending Assistance (ESKWELA) Progr",METRO MANILA,National Capital Region,PASS,6.3,Variable,TERM LOAN,Unsecured,(blank),DBP,Long Term,1673,,CUR,PA,0.00,2000000.00,0.00,1311000.00,13110.44,868811.80,23-Dec,5.54,3.9,3.1,55.5877,DEC,0,5.00% - 7.99%
