YEAR_ID,MONTH_ID,SEQ,BORROWER_COUNT,BORROWER_CODE_NAME,JOINT,LENDING UNIT,LG,Major Industry,Account/Loan Type,Govt Priv,Customer Size,Development Lending Program,Location,Region,Region Full,Account Class,Interest Rate,Interest Type,Type of Facility,Collateral Type,Collateral Type Description,Source,Loan Term,No. of Days-Loan Term,Past Due Date,Loan Status,Area Code,  Sum of Sum of Approved Amount  ,  Sum of Sum of Collateral Amount  ,  Sum of Sum of Release Amount  ,  Sum of Sum of Booked Reserves  ,  Sum of Sum of Loan Portfolio ,  NPA ,Month Name,Interest Rate Range,Longitude,Latitude,Location Proper,CODE_NAME,AO ID,AO NAME,SURVEY_ID
2019,12,1,1,BORROWER_259,BORROWER_259-2019-12,ILAGAN LENDING CENTER,NCLLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Private,Micro,No Program,Isabela,Cagayan Valley,Region II (Cagayan Valley),LOSS,18,Fixed,TERM LOAN,Secured,REAL ESTATE,DBP,Short Term,365,10/25/1996,PDO,NPA,"8,500.00","8,500.00","8,500.00","8,500.00","8,500.00","8,500.00",DEC,15.00% - 19.99%,121.8894,17.1489,Isabela,259,134,"DY, RYAN JACK C. (REMEDIAL AO)",97
2019,12,1,1,BORROWER_2590,BORROWER_2590-2019-12,SME (NCR) DEPARTMENT,SMERMMLG,"AGRICULTURE, FORESTRY AND FISHING",SME Loans - Medium,Private,Medium,RESPONSE-Broiler Contract Growing Program,Metro Manila,National Capital Region,National Capital Region (NCR),SPECIALLY MENTIONED,7,Fixed,TERM LOAN,Secured,REAL ESTATE,JICA,Long Term,3327,,CUR,PA,"165,000,000.00","109,919,169.00","55,000,000.00","920,621.73","55,000,000.00", -   ,DEC,5.00% - 7.99%,120.9772,14.5958,Metro Manila,2590,636,"LA ROSA, ALEXIS M.",131
2019,12,1,1,BORROWER_2591,BORROWER_2591-2019-12,SME (NCR) DEPARTMENT,SMERMMLG,"AGRICULTURE, FORESTRY AND FISHING",SME Loans - Small,Private,Small,Broiler Contract Growing (BCG) Program,Metro Manila,National Capital Region,National Capital Region (NCR),CURRENT,8.54,Fixed,TERM LOAN,Unsecured,NO COLLATERAL,DBP,Long Term,3446,,CUR,PA,"118,000,000.00", -   ,"53,100,000.00", -   ,"53,100,000.00", -   ,DEC,8.00% - 9.99%,120.9772,14.5958,Metro Manila,2591,638,"ORIZAL, LLOYD PATRICK D.",
2019,12,1,1,BORROWER_2593,BORROWER_2593-2019-12,SME (NCR) DEPARTMENT,SMERMMLG,TRANSPORTATION  AND  STORAGE ,Microfinance Loans,Private,Medium,Program Assistance to Support Alternative Driving Approaches,Metro Manila,National Capital Region,National Capital Region (NCR),CURRENT,6,Fixed,TERM LOAN,Secured,OTHERS COLLATERAL,JICA,Long Term,2557,,CUR,PA,"24,746,651.18","29,550,000.00","24,746,651.18", -   ,"23,698,051.96", -   ,DEC,5.00% - 7.99%,120.9772,14.5958,Metro Manila,2593,95,"SAN JOSE, PAUL ALVIN V.",
2019,12,1,1,BORROWER_2596,BORROWER_2596-2019-12,SAN FERNANDO LENDING CENTER,NCLLG,PUBLIC ADMINISTRATION AND DEFENSE; COMPULSORY SOCIAL SECURITY,Loans to LGU,Government,Small,No Program,Pampanga,Central Luzon,Region III (Central Luzon),CURRENT,7.5,Variable,TERM LOAN,Unsecured,NO COLLATERAL,DBP,Long Term,1827,,CUR,PA,"21,765,000.00", -   ,"17,830,125.03", -   ,"17,593,174.51", -   ,DEC,5.00% - 7.99%,120.68,15.03,Pampanga,2596,157,"SUMAWAY, LANI Q.",149
2019,12,1,1,BORROWER_2597,BORROWER_2597-2019-12,MALOLOS LENDING CENTER,NCLLG,CONSTRUCTION,SME Loans - Medium,Private,Medium,Infrastructure Contractor Support Program,Bulacan,Central Luzon,Region III (Central Luzon),CURRENT,7,Variable,REVOLVING CREDIT LINE,Unsecured,NO COLLATERAL,DBP,Short Term,88,,CUR,PA,"20,000,000.00", -   ,"7,000,000.00", -   ,"7,000,000.00", -   ,DEC,5.00% - 7.99%,121.0453,14.8139,Bulacan,2597,168,"GUNGON, RENNIE MAE H.",71
2019,12,1,1,BORROWER_2598,BORROWER_2598-2019-12,TUGUEGARAO LENDING CENTER,NCLLG,FINANCIAL  AND INSURANCE ACTIVITIES,SME Loans - Small,Private,Small,No Program,Kalinga,Cordillera Administrative Region,Cordillera Administrative Region  (CAR),CURRENT,7,Variable,TERM LOAN,Unsecured,NO COLLATERAL,DBP,Medium Term,1096,,CUR,PA,"5,000,000.00", -   ,"5,000,000.00", -   ,"4,083,333.33", -   ,DEC,5.00% - 7.99%,121.4425,17.4069,Kalinga,2598,648,"DY, RYAN JACK C. (REMEDIAL AO)",
2019,12,1,1,BORROWER_2599,BORROWER_2599-2019-12,ILAGAN LENDING CENTER,NCLLG,CONSTRUCTION,SME Loans - Medium,Private,Medium,Infrastructure Contractor Support Program,Nueva Vizcaya,Cagayan Valley,Region II (Cagayan Valley),CURRENT,8,Variable,REVOLVING CREDIT LINE,Unsecured,NO COLLATERAL,DBP,Short Term,90,,CUR,PA,"60,000,000.00", -   ,"8,200,000.00","688,230.14","8,200,000.00", -   ,DEC,8.00% - 9.99%,121.15,16.48,Nueva Vizcaya,2599,,,
2019,12,1,1,BORROWER_26,BORROWER_26-2019-12,DAVAO LENDING CENTER,SWMLG,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,SME Loans - Medium,Private,Medium,IGLF,Davao Del Sur,Davao,Region XI (Davao Region),CURRENT,6.3,Variable,TERM LOAN,Secured,REAL ESTATE,NEDA,Long Term,639,,CUR,PA,"102,000,000.00","353,454,000.00","22,512,422.15","105,544.92","21,939,218.99", -   ,DEC,5.00% - 7.99%,125.35,6.75,Davao Del Sur,26,592,"TAN-BASILIO, CAMILLE CHRISTINE L.",
2019,12,1,1,BORROWER_260,BORROWER_260-2019-12,BACOLOD LENDING CENTER,VLG,REAL ESTATE ACTIVITIES,SME Loans - Medium,Private,Medium,IGLF,Negros Occidental,Western Visayas,Region VI  (Western Visayas),CURRENT,6.75,Fixed,TERM LOAN,Secured,OTHERS/UNSECURED,NEDA,Long Term,2740,,CUR,PA,"11,000,000.00","8,468,800.00","8,382,352.96", -   ,"7,823,529.42", -   ,DEC,5.00% - 7.99%,122.82,9.98,Negros Occidental,260,263,"RAMIREZ, VIRNA M.",38
